su_id,personas,edad_promedio
76001101000000000101,20289,25
76001101000000000102,3250,25
76001101000000000103,33690,27
76001101000000000104,1573,30
76001101000000000105,2727,28
76001101000000000106,470,29
76001102000000000105,299,23
76001102000000000201,7913,37
76001102000000000202,1403,39
76001102000000000203,3828,31
76001102000000000204,3642,35
76001102000000000205,2147,40
76001102000000000206,7091,38
76001102000000000207,1842,44
76001102000000000208,3131,42
76001102000000000209,3711,42
76001102000000000210,607,31
76001102000000000211,6013,38
76001102000000000212,7159,38
76001102000000000213,5078,40
76001102000000000214,1794,36
76001102000000000215,1296,38
76001102000000000216,774,36
76001102000000000217,7729,31
76001102000000000218,370,34
76001102000000000219,442,33
76001102000000000220,7104,34
76001102000000000221,4642,37
76001102000000000222,12131,35
76001102000000000223,11934,29
76001103000000000302,316,33
76001103000000000303,2614,32
76001103000000000304,23,48
76001103000000000305,2159,43
76001103000000000306,3881,38
76001103000000000307,7548,36
76001103000000000308,4674,36
76001103000000000309,4782,34
76001103000000000310,2569,36
76001103000000000311,935,41
76001103000000000312,581,37
76001103000000000313,2222,30
76001103000000000314,3326,30
76001103000000000315,601,36
76001103000000000316,1083,33
76001103000000000317,6994,34
76001104000000000401,2085,32
76001104000000000402,2702,34
76001104000000000403,1593,34
76001104000000000404,789,32
76001104000000000405,1438,33
76001104000000000406,192,34
76001104000000000407,1694,34
76001104000000000408,2490,31
76001104000000000409,7368,31
76001104000000000410,2980,33
76001104000000000411,2730,33
76001104000000000412,3945,34
76001104000000000413,2323,34
76001104000000000414,5007,35
76001104000000000415,544,36
76001104000000000416,114,34
76001104000000000417,3078,33
76001104000000000418,1519,33
76001104000000000419,1536,34
76001104000000000420,4793,32
76001104000000000421,1970,30
76001104000000000422,5075,35
76001105000000000501,7776,35
76001105000000000502,6871,34
76001105000000000503,3686,35
76001105000000000504,3808,32
76001105000000000505,16297,29
76001105000000000506,11013,33
76001105000000000507,6206,32
76001105000000000508,3904,30
76001105000000000509,15043,31
76001105000000000510,7501,31
76001105000000000511,17739,30
76001106000000000601,5200,32
76001106000000000602,13700,29
76001106000000000603,8187,28
76001106000000000604,5556,27
76001106000000000605,6980,29
76001106000000000606,13010,30
76001106000000000607,2856,29
76001106000000000608,3308,28
76001106000000000609,8602,29
76001106000000000610,13018,30
76001106000000000611,9104,26
76001106000000000612,11555,26
76001106000000000613,26171,28
76001106000000000614,12994,29
76001106000000000615,11602,24
76001106000000000616,91,32
76001106000000000617,12371,28
76001106000000009906,5087,23
76001107000000000701,596,32
76001107000000000703,5664,30
76001107000000000704,2272,29
76001107000000000705,3323,30
76001107000000000706,8147,32
76001107000000000707,12448,32
76001107000000000708,3706,33
76001107000000000709,4368,29
76001107000000000710,14093,32
76001107000000000711,1589,27
76001107000000000712,10068,30
76001107000000000713,11501,32
76001108000000000801,5155,34
76001108000000000802,2129,33
76001108000000000803,4815,34
76001108000000000804,3692,34
76001108000000000805,2975,34
76001108000000000806,2614,36
76001108000000000807,6076,34
76001108000000000808,2251,32
76001108000000000809,4673,33
76001108000000000810,8295,33
76001108000000000811,7791,34
76001108000000000812,10155,34
76001108000000000813,3763,34
76001108000000000814,5472,34
76001108000000000815,7582,34
76001108000000000816,9088,35
76001108000000000817,3289,32
76001108000000000818,7520,29
76001109000000000901,3916,36
76001109000000000902,7145,37
76001109000000000903,8598,35
76001109000000000904,4612,35
76001109000000000905,3765,31
76001109000000000906,1004,31
76001109000000000907,2664,32
76001109000000000908,5585,32
76001109000000000909,5048,30
76001109000000000910,6045,34
76001110000000001001,5499,36
76001110000000001002,3223,37
76001110000000001003,7731,32
76001110000000001004,4958,31
76001110000000001005,6240,34
76001110000000001006,2356,33
76001110000000001007,5936,36
76001110000000001008,2528,33
76001110000000001009,4059,34
76001110000000001010,4817,36
76001110000000001011,27063,32
76001110000000001012,11499,34
76001110000000001013,2838,34
76001110000000001014,8565,34
76001110000000001015,6359,34
76001111000000001101,1554,31
76001111000000001102,5629,33
76001111000000001103,8050,33
76001111000000001104,1172,33
76001111000000001105,7192,31
76001111000000001106,2070,33
76001111000000001107,3118,33
76001111000000001108,10090,33
76001111000000001109,5555,32
76001111000000001110,7225,32
76001111000000001111,2250,31
76001111000000001112,1065,29
76001111000000001113,6930,29
76001111000000001114,2691,27
76001111000000001115,4729,26
76001111000000001116,3992,27
76001111000000001117,3380,29
76001111000000001118,2654,29
76001111000000001119,5330,31
76001111000000001120,1798,33
76001111000000001122,6509,32
76001111000000001123,5213,32
76001111000000001201,165,27
76001112000000000817,259,32
76001112000000001201,3677,32
76001112000000001202,3590,33
76001112000000001203,13004,30
76001112000000001204,1326,31
76001112000000001205,3506,33
76001112000000001206,3633,30
76001112000000001207,3253,29
76001112000000001208,3583,30
76001112000000001209,4566,31
76001112000000001210,20507,32
76001112000000001211,1527,33
76001112000000001212,5008,30
76001113000000001301,19804,26
76001113000000001302,12452,29
76001113000000001303,13865,28
76001113000000001304,17768,27
76001113000000001305,2815,25
76001113000000001306,3475,25
76001113000000001307,1482,25
76001113000000001308,1161,25
76001113000000001309,984,27
76001113000000001310,5455,29
76001113000000001311,2984,29
76001113000000001312,11610,28
76001113000000001313,5496,26
76001113000000001314,3438,27
76001113000000001315,9698,26
76001113000000001316,4081,27
76001113000000001317,17179,24
76001113000000001318,4003,27
76001113000000001319,3662,29
76001113000000001321,5295,29
76001113000000001322,3690,30
76001113000000001323,11380,28
76001113000000001324,8052,31
76001114000000001401,25472,26
76001114000000001402,12338,27
76001114000000001403,31570,25
76001114000000001404,12810,27
76001114000000001405,21635,26
76001114000000001406,4642,25
76001114000000001407,3996,27
76001114000000001408,15140,27
76001114000000001409,13548,27
76001114000000001410,10638,28
76001115000000001501,27082,28
76001115000000001502,18385,26
76001115000000001503,14906,25
76001115000000001504,4677,27
76001115000000001505,18459,25
76001115000000001506,25997,24
76001115000000001507,1631,27
76001115000000001509,15572,26
76001116000000001501,2241,29
76001116000000001508,4667,31
76001116000000001601,23694,30
76001116000000001602,16939,30
76001116000000001603,19543,30
76001116000000001604,22792,29
76001116000000001605,4569,29
76001117000000001605,170,25
76001117000000001710,70,31
76001117000000001711,3217,36
76001117000000001712,1158,31
76001117000000001714,4105,34
76001117000000001715,8747,33
76001117000000001716,15147,31
76001117000000001717,1283,31
76001117000000001718,902,31
76001117000000001719,1160,33
76001117000000001720,1788,33
76001117000000001721,7695,35
76001117000000001722,1952,34
76001117000000001723,683,31
76001117000000001724,573,37
76001117000000001725,6188,36
76001117000000001726,3957,36
76001117000000001727,3912,31
76001117000000001728,6036,33
76001117000000001729,8574,30
76001117000000001730,7721,33
76001117000000001731,3440,35
76001117000000001732,3449,30
76001117000000001733,2961,31
76001117000000001734,3814,32
76001117000000001735,1555,31
76001117000000001736,4287,31
76001118000000001801,5737,26
76001118000000001802,17497,26
76001118000000001803,3165,32
76001118000000001804,2630,31
76001118000000001805,3562,32
76001118000000001806,4648,32
76001118000000001807,5629,33
76001118000000001808,2993,30
76001118000000001809,3637,35
76001118000000001810,2407,36
76001118000000001811,2123,31
76001118000000001812,2834,29
76001118000000001813,7290,29
76001118000000001814,32418,25
76001118000000001815,3769,28
76001119000000000106,65,34
76001119000000001003,1197,36
76001119000000001901,8579,33
76001119000000001902,2367,33
76001119000000001903,2733,34
76001119000000001904,1269,37
76001119000000001905,1502,36
76001119000000001906,1181,36
76001119000000001907,1437,36
76001119000000001908,1431,36
76001119000000001909,1502,38
76001119000000001910,485,37
76001119000000001911,1508,37
76001119000000001912,734,36
76001119000000001913,1148,38
76001119000000001914,1171,33
76001119000000001915,2697,35
76001119000000001916,1606,31
76001119000000001918,2359,44
76001119000000001919,2173,38
76001119000000001920,480,40
76001119000000001921,832,39
76001119000000001922,1646,36
76001119000000001923,4145,39
76001119000000001924,123,39
76001119000000001925,3923,38
76001119000000001926,1533,41
76001119000000001927,465,43
76001119000000001929,5612,36
76001119000000001930,2556,37
76001119000000001931,3929,38
76001119000000001932,2858,38
76001119000000001933,2554,41
76001119000000001935,5178,38
76001119000000001936,4231,36
76001119000000001937,3129,40
76001119000000001938,2085,40
76001119000000001939,4089,37
76001119000000001940,5070,39
76001119000000001941,321,39
76001119000000001942,796,38
76001119000000001943,416,36
76001119000000001944,5620,30
76001120000000001942,55,38
76001120000000002001,1717,29
76001120000000002002,1535,30
76001120000000002003,24,37
76001120000000002004,3703,34
76001120000000002005,12623,27
76001120000000002006,7153,26
76001120000000002007,4496,28
76001120000000002008,6096,28
76001120000000002009,9264,29
76001120000000002010,5670,30
76001120000000002011,5087,28
76001120000000002012,2132,27
76001120000000002013,5445,30
76001120000000002014,267,32
76001121000000000708,627,32
76001121000000001402,4012,25
76001121000000002101,19064,26
76001121000000002102,22307,23
76001121000000002103,21176,26
76001121000000002104,6833,24
76001121000000002105,9806,23
76001121000000002106,8511,25
76001122000000001702,764,32
76001122000000001703,637,32
76001122000000001704,1492,34
76001122000000001705,211,39
76001122000000001707,32,40
76001122000000001708,740,38
76001122000000001709,3101,35
76001122000000001713,2105,32
76020199000000000001,9106,30
76036199000000000001,13695,31
76041199000000000001,11538,28
76054199000000000001,2982,31
76100199000000000001,3621,33
76109199000000000001,4621,27
76109199000000000002,3283,24
76109199000000000003,11921,26
76109199000000000004,10012,28
76109199000000000005,9960,27
76109199000000000006,12874,23
76109199000000000007,7993,24
76109199000000000008,16198,21
76109199000000000009,21918,25
76109199000000000010,21025,25
76109199000000000011,9576,25
76109199000000000012,15856,20
76109199000000000013,7334,27
76109199000000000014,3361,26
76109199000000000015,7774,25
76109199000000000016,16455,28
76109199000000000017,4480,28
76109199000000000018,8904,25
76109199000000000019,22248,25
76109199000000000020,7686,26
76109199000000000021,13436,24
76109199000000000022,5855,29
76109199000000000023,7928,29
76109199000000000024,12793,27
76109199000000000025,9232,24
76109199000000000026,5970,25
76109199000000000027,11764,24
76111199000000000001,853,25
76111199000000000002,438,32
76111199000000000003,1806,28
76111199000000000004,15045,28
76111199000000000005,4415,30
76111199000000000006,7103,32
76111199000000000007,4749,32
76111199000000000008,3183,32
76111199000000000009,3739,30
76111199000000000010,6192,34
76111199000000000011,9392,35
76111199000000000012,3582,33
76111199000000000013,5026,28
76111199000000000014,1873,32
76111199000000000015,5963,34
76111199000000000016,2172,34
76111199000000000017,692,37
76111199000000000018,344,33
76111199000000000019,6289,36
76111199000000000020,1381,37
76111199000000000021,620,43
76111199000000000022,2534,36
76111199000000000023,3139,37
76111199000000000024,20,35
76111199000000000025,3864,31
76111199000000000026,2848,30
76113199000000000001,4062,35
76113199000000000002,7155,31
76122199000000000001,1652,28
76122199000000000002,4175,33
76122199000000000003,2659,32
76122199000000000004,6076,30
76122199000000000005,6110,33
76122199000000000006,2780,34
76126199000000000001,3395,31
76126199000000000002,5550,30
76130199000000000001,19149,30
76147199000000000001,22946,26
76147199000000000002,2569,35
76147199000000000003,11863,35
76147199000000000004,5925,40
76147199000000000005,2825,40
76147199000000000006,1806,39
76147199000000000007,9264,33
76147199000000000008,2213,31
76147199000000000009,215,32
76147199000000000010,14323,31
76147199000000000011,2901,36
76147199000000000012,5628,35
76147199000000000013,3041,30
76147199000000000014,4635,35
76147199000000000015,10808,31
76147199000000000016,4599,31
76147199000000000017,6005,28
76147199000000000018,1683,29
76147199000000000019,1988,27
76147199000000000020,2660,27
76147199000000000021,1166,33
76233199000000000001,3488,31
76233199000000000002,4532,30
76243199000000000001,2411,31
76246199000000000001,2817,30
76248199000000000001,20593,30
76248199000000000002,11914,31
76250199000000000001,5175,30
76275199000000000001,16216,27
76275199000000000002,21009,30
76275199000000000003,2845,29
76306199000000000001,1523,34
76306199000000000002,1980,31
76306199000000000003,4412,32
76318199000000000001,8168,30
76318199000000000002,4484,30
76318199000000000003,5637,31
76364199000000000001,1946,29
76364199000000000002,1785,26
76364199000000000003,2169,28
76364199000000000004,2418,26
76364199000000000005,2316,25
76364199000000000006,2469,25
76364199000000000007,3224,30
76364199000000000008,10002,29
76364199000000000009,860,32
76364199000000000010,3879,32
76364199000000000011,2715,30
76364199000000000012,1376,32
76364199000000000013,619,35
76364199000000000014,3048,30
76364199000000000015,1372,31
76364199000000000016,1024,31
76364199000000000017,3514,28
76364199000000000018,1035,34
76364199000000000019,18882,28
76364199000000000020,417,31
76364199000000000021,94,30
76364199000000000022,15,23
76377199000000000001,2243,34
76400199000000000001,12117,29
76400199000000000002,11719,30
76403199000000000001,3258,32
76403199000000000002,6007,32
76497199000000000001,9609,29
76520199000000000001,10790,30
76520199000000000002,3874,32
76520199000000000003,1067,34
76520199000000000004,2660,33
76520199000000000005,6516,31
76520199000000000006,4764,30
76520199000000000007,4893,29
76520199000000000008,18524,32
76520199000000000009,517,32
76520199000000000010,6802,31
76520199000000000011,1464,34
76520199000000000012,5161,35
76520199000000000013,2607,36
76520199000000000014,4558,38
76520199000000000015,2027,35
76520199000000000016,6766,35
76520199000000000017,2624,28
76520199000000000018,10012,32
76520199000000000019,1633,32
76520199000000000020,6725,35
76520199000000000021,9146,33
76520199000000000022,2930,38
76520199000000000023,2883,38
76520199000000000024,3681,36
76520199000000000025,6,18
76520199000000000026,10574,30
76520199000000000027,1871,30
76520199000000000028,5399,33
76520199000000000029,1545,37
76520199000000000030,10872,30
76520199000000000031,3670,31
76520199000000000032,2957,37
76520199000000000033,6219,37
76520199000000000034,1998,35
76520199000000000035,2837,29
76520199000000000036,9612,32
76520199000000000037,26994,29
76520199000000000038,1972,34
76520199000000000039,7532,27
76520199000000000040,5266,27
76520199000000000041,1101,30
76563199000000000001,18793,28
76563199000000000002,22541,27
76606199000000000001,4098,31
76606199000000000002,3783,29
76616199000000000001,5224,30
76622199000000000001,14988,30
76622199000000000002,8617,31
76670199000000000001,5866,31
76736199000000000001,4399,29
76736199000000000002,6951,30
76736199000000000003,5675,33
76736199000000000004,6072,33
76736199000000000005,4405,34
76736199000000000006,3227,31
76736199000000000007,167,24
76823199000000000001,5525,31
76823199000000000002,3585,28
76828199000000000001,7375,31
76834199000000000001,15400,27
76834199000000000002,3288,30
76834199000000000003,3948,29
76834199000000000004,3831,29
76834199000000000005,2143,30
76834199000000000006,3795,32
76834199000000000007,3131,32
76834199000000000008,3486,30
76834199000000000009,3171,31
76834199000000000010,2352,29
76834199000000000011,17412,28
76834199000000000012,1353,32
76834199000000000013,1604,35
76834199000000000014,9054,27
76834199000000000015,3571,32
76834199000000000016,2663,33
76834199000000000017,1529,31
76834199000000000018,1010,27
76834199000000000019,720,27
76834199000000000020,3056,27
76834199000000000021,2275,28
76834199000000000022,3972,30
76834199000000000023,367,35
76834199000000000024,39,27
76834199000000000025,1298,30
76834199000000000026,2491,27
76834199000000000027,16,36
76834199000000000028,3936,34
76834199000000000029,809,38
76834199000000000030,2313,34
76834199000000000031,1536,32
76834199000000000032,1804,36
76834199000000000033,1171,33
76834199000000000034,627,35
76834199000000000035,1682,35
76834199000000000036,725,36
76834199000000000037,344,36
76834199000000000038,1410,29
76834199000000000039,621,34
76834199000000000040,776,34
76834199000000000041,8763,34
76834199000000000042,2572,38
76834199000000000043,1452,38
76834199000000000044,449,38
76834199000000000045,913,38
76834199000000000046,3322,30
76834199000000000047,334,34
76834199000000000048,109,28
76834199000000000049,148,32
76834199000000000050,2024,31
76834199000000000051,2358,35
76834199000000000052,1571,35
76834199000000000053,1280,33
76834199000000000054,3042,32
76834199000000000055,5178,33
76834199000000000056,792,36
76834199000000000057,1153,22
76834199000000000058,6049,25
76834199000000000059,1274,25
76845199000000000001,2167,30
76863199000000000001,3831,32
76869199000000000001,5786,31
76890199000000000001,3956,31
76890199000000000002,3434,31
76892101000000000005,180,27
76892101000000000006,1253,27
76892101000000000007,7745,28
76892101000000000008,11394,26
76892101000000000009,27,23
76892101000000000011,294,23
76892101000000000012,67,31
76892101000000000013,229,28
76892101000000000014,25,29
76892102000000000001,112,28
76892102000000000002,1708,30
76892102000000000003,1238,31
76892102000000000004,8154,33
76892102000000000005,4872,32
76892102000000000006,5164,31
76892103000000000001,2211,30
76892103000000000005,6168,27
76892103000000000006,3034,29
76892104000000000001,2634,28
76892104000000000002,14872,28
76892104000000000003,8188,27
76895199000000000001,12950,30
76895199000000000002,15185,30